"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %","Prom. Hold. %","Payout ratio %","CMP / BV","Ind PBV","Debt / Eq","ROE %","EPS 12M Rs.","ROE 3Yr %","ROCE 3Yr %"
"1.","Ksolves India","259.20","20.18","614.81","5.98","9.80","-5.04","42.30","12.20","157.26","58.94","0.00","18.48","3.44","0.08","153.90","12.86","143.48","175.31"
"2.","Tips Music","491.55","33.37","6283.59","2.63","58.66","32.62","94.29","21.40","108.83","64.15","53.71","24.45","1.50","0.01","82.88","14.73","76.95","99.95"
"3.","Nestle India","1166.50","70.76","224937.88","1.14","1018.06","26.60","5667.04","18.56","95.66","62.76","78.54","49.31","3.62","0.10","83.02","17.20","106.51","134.17"
"4.","RRP Defense","805.60","511.67","1105.19","0.00","-0.13","-161.90","0.00","-100.00","82.72","74.65","0.00","72.81","2.32","0.00","87.02","6.66","52.68","31.31"
"5.","Waaree Renewab.","808.20","20.13","8433.16","0.12","120.20","124.67","851.06","136.18","82.31","74.32","4.55","12.82","3.93","0.12","65.56","39.97","74.96","88.67"
"6.","Oswal Pumps","297.10","9.70","3386.24","0.00","91.56","15.66","501.07","31.95","77.91","75.67","0.00","2.24","5.78","0.08","87.50","31.32","81.04","63.20"
"7.","GK Energy","98.00","10.68","1987.63","0.00","58.83","57.72","460.20","43.64","74.29","79.20","0.00","2.56","1.83","0.53","100.52","9.91","97.00","56.89"
"8.","Shilchar Tech.","3777.35","23.42","4321.37","0.32","42.34","21.77","170.26","10.75","71.30","62.12","6.49","10.25","3.93","0.00","52.93","161.99","51.88","66.64"
"9.","Australian Prem","290.55","10.83","585.74","0.03","28.13","114.41","300.77","83.88","70.83","72.52","0.00","4.38","5.67","0.23","57.82","27.15","43.42","42.35"
"10.","Esab India","5140.05","40.46","7912.10","1.24","43.00","29.62","378.83","12.25","70.03","73.72","78.96","18.99","3.02","0.01","52.34","136.80","54.13","72.46"
"11.","Network People","1056.30","63.69","2202.45","0.19","11.55","124.95","52.62","147.74","69.23","60.27","0.00","5.32","2.61","0.02","56.01","17.06","52.71","61.15"
"12.","Dam Capital Advi","123.35","10.86","871.96","0.77","19.98","-61.15","69.89","-32.75","64.78","40.00","6.82","2.80","2.17","0.01","49.22","11.42","42.97","51.03"
"13.","Billionbrains","162.20","63.00","101757.83","0.00","546.93","-27.76","1216.07","24.78","62.57","27.81","0.00","13.57","2.17","0.05","49.92","9.98","31.93","34.49"
"14.","Ingersoll-Rand","3525.80","40.23","11130.27","2.31","71.89","15.75","455.48","19.39","60.02","75.00","94.41","17.12","5.78","0.02","45.01","82.01","38.69","51.64"
"15.","PNGS Gargi FJ","823.40","28.34","862.12","0.00","10.60","17.05","46.06","27.10","57.93","68.28","0.00","6.83","2.86","0.06","44.76","29.03","41.95","49.01"
"16.","LG Electronics","1482.80","48.93","100648.32","0.00","89.67","-61.59","4114.39","-6.40","56.83","85.00","0.00","14.55","4.09","0.07","45.18","32.46","36.47","46.67"
"17.","One Global Serv","517.25","16.34","1010.85","0.00","21.66","522.41","141.27","323.34","56.38","68.38","0.00","9.92","5.15","0.00","42.31","50.51","44.15","53.66"
"18.","Anand Rathi Wea.","2919.40","66.14","24237.05","0.35","100.19","29.66","289.62","22.18","56.26","43.12","38.76","29.91","12.14","0.10","45.33","44.12","42.64","52.66"
"19.","Swaraj Engines","3390.00","21.70","4118.78","3.05","42.10","39.50","473.20","36.96","56.21","52.12","76.50","10.49","5.78","0.00","41.94","154.07","40.57","54.36"
"20.","Shakti Pumps","471.15","17.54","5813.91","0.20","31.70","-69.53","550.99","-15.07","55.31","50.34","2.94","3.63","5.78","0.38","42.64","27.14","29.45","32.36"
"21.","Cams Services","622.35","34.79","15427.28","1.92","121.98","3.53","366.97","5.59","54.75","0.00","81.26","13.55","10.78","0.06","43.94","17.95","41.63","51.00"
"22.","GE Vernova T&D","3488.00","79.94","89310.21","0.14","290.80","138.53","1700.64","58.40","54.74","51.00","21.05","42.71","5.67","0.01","40.35","41.71","21.27","28.47"
"23.","Rajesh Power","821.50","12.52","1479.34","0.11","58.06","119.76","637.82","103.74","54.71","73.40","2.06","4.72","5.04","0.26","50.83","65.35","40.15","33.66"
"24.","Hyundai Motor I","1867.55","26.68","151746.21","1.11","1194.92","6.30","17452.70","7.46","54.25","82.50","31.07","8.96","6.08","0.05","42.18","69.95","34.81","46.25"
"25.","International Ge","319.05","25.96","13788.03","0.76","134.55","18.25","319.67","20.63","53.62","76.55","0.00","9.69","2.10","0.10","43.00","12.30","52.48","73.47"
"26.","Accelya Solution","1130.50","14.90","1687.41","7.99","13.94","-39.77","132.93","-0.19","53.61","74.66","104.15","6.40","3.44","0.33","45.47","72.19","43.97","55.59"
"27.","Sathlokhar Sys.","322.30","12.06","837.29","0.00","19.72","340.18","189.33","402.87","53.42","62.71","0.00","3.89","1.83","0.18","40.17","22.50","51.10","72.19"
"28.","Arrow Greentech","359.95","10.57","543.07","1.10","13.29","3.50","56.06","1.72","53.25","64.81","9.56","2.58","1.62","0.01","39.57","34.06","29.21","36.48"
"29.","Zelio E-Mobility","331.55","33.72","701.24","0.00","11.82","67.66","133.32","77.10","51.78","72.77","0.00","","5.21","0.70","85.75","12.57","87.47","46.90"
"30.","Alpex Solar","751.70","10.39","1920.09","0.00","54.27","135.04","648.08","245.40","50.48","65.89","0.00","4.02","3.93","0.37","47.72","73.57","37.23","30.16"
"31.","Jeena Sikho","585.70","35.63","7280.26","0.18","66.73","405.15","221.66","91.60","50.24","63.62","14.99","20.51","3.02","0.30","37.93","16.43","40.07","53.62"
"32.","Atlanta Electric","1122.00","55.28","8627.85","0.00","49.42","125.33","471.82","79.71","50.20","87.27","0.00","10.97","5.67","0.46","40.80","20.94","39.19","49.69"
"33.","Jyoti Resins","738.50","12.68","886.20","1.23","15.37","-19.36","72.31","1.72","49.98","53.89","14.62","3.52","2.41","0.00","37.35","58.08","44.82","62.92"
